Name,Correlation_FDR,Correlation_nominal,limma_FDR,limma_nominal
Pc(19:2cooh_21:6),1,0,1,0
Pe(21:0_21:5),1,0,1,0
L-(+)-Lactic Acid,0,1,1,0
Methanesulfonic Acid,0,1,0,0
2-Oxobutanoic Acid,0,1,0,1
3-Hydroxybutyric Acid,0,1,0,1
Succinic Acid,0,1,0,1
D-Threonine,0,1,0,1
N-Acetyl-Serine,0,1,0,1
Xylose,0,1,0,1
L-Threonic Acid Calcium Salt,0,1,0,1
Citric Acid,0,1,0,1
"D-Fructose 1,6-Bisphosphate",0,1,0,1
3-[(2-Hydroxyethyl)Amino]-1-Propanol,0,1,0,1
Choline,0,1,0,1
L-Serine,0,1,0,1
Prolinamide,0,1,0,1
Dl-Valine,0,1,0,1
Asparagine,0,1,0,1
4-Quinolinol,0,1,0,1
Acetylcholine,0,1,0,1
L-Histidine,0,1,0,1
D-Histidine Methyl Ester,0,1,0,1
Cytarabine,0,1,0,1
1-Methyladenosine,0,1,0,1
O-Dodecanoylcarnitine,0,1,0,1
Asp-Pro-Asn,0,1,0,1
"1,2-Dioleoyl-Sn-Glycero-3-Phosphatidylcholine",0,1,0,1
2-Aminocaprylate,0,1,0,1
N-Acetylglutamic Acid,0,1,0,1
Propionylcarnitine,0,1,1,0
Biotin,0,1,1,0
Inosine-5'-Monophosphate (Imp),0,1,0,1
Guanosine-5'-Monophosphate,0,1,0,1
Myristoyl-L-Carnitine,0,1,0,1
1-Linoleoyl-Sn-Glycero-3-Phosphorylcholine,0,1,0,1
Δ2-Cis-Hexadecenoic Acid,0,1,0,1
Dodecyl Sulfate,0,1,0,1
Pc(14:0_4:1cho),0,1,0,1
Oahfa(15:1_25:3),0,1,0,1
Cl(12:0cooh_22:0_24:1_21:2),0,1,0,1
Pg(24:1_22:7),0,1,0,1
Dgdg(6:0_28:2),0,1,0,1
Ps(17:1_29:3),0,1,0,0
Sqdg(14:0_30:6),0,1,0,1
Palmitoleic Acid,0,1,0,1
Monopalmitolein (9c),0,1,0,1
Glycerol Monopalmitate,0,1,0,1
Glycerol Monooleate,0,1,0,1
1-Stearoylglycerol,0,1,0,0
Dipropyleneglycol Dibenzoate,0,1,0,1
Peg N8,0,1,0,1
Dg(2:0_18:2),0,1,0,1
Pc(6:0_17:0cho),0,1,0,1
Peg N14,0,1,0,1
Dg(21:1_19:4),0,1,0,1
Pc 16:0_16:1,0,1,0,1
Bismepa(18:0_19:1),0,1,0,1
1-Hexadecanoyl-2-Octadecadienoyl-Sn-Glycero-3-Phosphocholine,0,1,0,0
Pe(19:4_19:4),0,1,0,1
Pe(18:0_20:4),0,1,0,1
Ganglioside-Gm1(D18:1/18:0),0,1,0,1
Tg(49:11_2:0),0,1,0,1
Pe(26:4_19:6cooh),0,1,0,1
Pe(21:4cooh_24:6),0,1,0,1
Pi(29:7_11:0),0,1,0,1
L-Glutathione (Reduced),0,0,0,1
Pe(15:0_27:7),0,0,0,1
Lithocholic Acid,0,0,0,1
Sarcosine,0,0,0,1
Tg(15:0_15:0_24:6),0,0,0,1
